pago_id;monto;fecha;uid;subs_id;pid;pro_id
6368;7000;08-06-2021;29;1;;
6369;7000;08-07-2021;29;1;;
6370;7000;08-08-2021;29;1;;
6371;7000;08-09-2023;29;1;;
6376;6500;27-09-2020;48;2;;
6377;6500;27-10-2020;48;2;;
6378;6500;27-11-2020;48;2;;
6379;6500;27-12-2020;48;2;;
6380;6500;27-01-2021;48;2;;
6381;6500;27-02-2021;48;2;;
6382;6500;27-03-2021;48;2;;
6383;6500;27-04-2021;48;2;;
6372;6500;27-05-2021;48;2;;
6384;6500;27-06-2021;48;2;;
6373;6500;27-07-2021;48;2;;
6385;6500;27-08-2021;48;2;;
6374;6500;27-09-2021;48;2;;
6386;6500;27-10-2021;48;2;;
6375;6500;27-11-2021;48;2;;
6387;6500;27-12-2023;48;2;;
6392;4000;21-09-2020;48;3;;
6393;4000;21-10-2020;48;3;;
6394;4000;21-11-2020;48;3;;
6395;4000;21-12-2020;48;3;;
6396;4000;21-01-2021;48;3;;
6397;4000;21-02-2021;48;3;;
6398;4000;21-03-2021;48;3;;
6399;4000;21-04-2021;48;3;;
6388;4000;21-05-2021;48;3;;
6400;4000;21-06-2021;48;3;;
6389;4000;21-07-2021;48;3;;
6401;4000;21-08-2021;48;3;;
6390;4000;21-09-2021;48;3;;
6402;4000;21-10-2021;48;3;;
6391;4000;21-11-2021;48;3;;
6403;4000;21-12-2023;48;3;;
6404;3200;19-04-2021;48;4;;
6405;3200;19-05-2021;48;4;;
6406;3200;19-06-2021;48;4;;
6407;3200;19-07-2021;48;4;;
6408;3200;19-08-2021;48;4;;
6409;3200;19-09-2021;48;4;;
6410;3200;19-10-2021;48;4;;
6411;3200;19-11-2021;48;4;;
6412;3200;19-12-2023;48;4;;
6413;3100;01-11-2020;48;5;;
6414;3100;01-12-2020;48;5;;
6415;3100;01-01-2021;48;5;;
6416;3100;01-02-2021;48;5;;
6417;3100;01-03-2021;48;5;;
6418;3100;01-04-2021;48;5;;
6419;3100;01-05-2021;48;5;;
6420;3100;01-06-2021;48;5;;
6421;3100;01-07-2021;48;5;;
6422;3100;01-08-2021;48;5;;
6423;3100;01-09-2021;48;5;;
6424;3100;01-10-2021;48;5;;
6425;3100;01-11-2021;48;5;;
6426;3100;01-12-2023;48;5;;
6430;3700;13-10-2020;141;6;;
6431;3700;13-11-2020;141;6;;
6432;3700;13-12-2020;141;6;;
6433;3700;13-01-2021;141;6;;
6434;3700;13-02-2021;141;6;;
6435;3700;13-03-2021;141;6;;
6436;3700;13-04-2021;141;6;;
6437;3700;13-05-2021;141;6;;
6438;3700;13-06-2021;141;6;;
6427;3700;13-07-2021;141;6;;
6439;3700;13-08-2021;141;6;;
6428;3700;13-09-2021;141;6;;
6440;3700;13-10-2021;141;6;;
6429;3700;13-11-2021;141;6;;
6441;3700;13-12-2023;141;6;;
6442;3900;10-06-2020;141;7;;
6443;3900;10-07-2020;141;7;;
6444;3900;10-08-2020;141;7;;
6445;3900;10-09-2020;141;7;;
6446;3900;10-10-2020;141;7;;
6447;3900;10-11-2020;141;7;;
6448;3900;10-12-2020;141;7;;
6449;3900;10-01-2021;141;7;;
6450;3900;10-02-2021;141;7;;
6451;3900;10-03-2021;141;7;;
6452;3900;10-04-2021;141;7;;
6453;3900;10-05-2021;141;7;;
6454;3900;10-06-2021;141;7;;
6455;3900;10-07-2023;141;7;;
6456;3200;06-05-2020;141;8;;
6457;3200;06-06-2020;141;8;;
6458;3200;06-07-2020;141;8;;
6459;3200;06-08-2020;141;8;;
6460;3200;06-09-2020;141;8;;
6461;3200;06-10-2020;141;8;;
6462;3200;06-11-2020;141;8;;
6463;3200;06-12-2020;141;8;;
6464;3200;06-01-2021;141;8;;
6465;3200;06-02-2021;141;8;;
6466;3200;06-03-2021;141;8;;
6467;3200;06-04-2023;141;8;;
6469;7400;30-01-2021;141;9;;
6470;7400;28-02-2021;141;9;;
6471;7400;28-03-2021;141;9;;
6468;7400;28-04-2023;141;9;;
6472;7100;04-01-2021;35;10;;
6473;7100;04-02-2021;35;10;;
6474;7100;04-03-2021;35;10;;
6475;7100;04-04-2021;35;10;;
6476;7100;04-05-2021;35;10;;
6477;7100;04-06-2021;35;10;;
6478;7100;04-07-2021;35;10;;
6479;7100;04-08-2021;35;10;;
6480;7100;04-09-2021;35;10;;
