ID_pago,Monto,Fecha,ID_usuario,Preorden,ID_proveedor,ID_videojuego,ID_subscripcion
2492,4500,2021-12-09,134,False,4,7334,261
951,5000,2021-12-23,112,False,5,9630,103
2704,5000,2021-09-13,139,False,4,498,282
2348,6500,2021-09-30,19,False,5,9730,244
5600,49800,2021-10-12,134,False,4,7344,261
2506,5000,2021-11-04,134,False,4,2031,262
5284,11550,2020-08-18,149,False,1,960,268
120,8000,2021-06-15,104,False,3,20,11
5884,47000,2021-11-16,45,False,4,358,99
2699,5000,2021-04-13,139,False,4,498,282
162,3000,2021-10-26,115,False,6,11208,15
3767,18150,2021-08-04,116,True,3,231,102
2942,5500,2020-07-28,144,False,6,1070,308
1244,5500,2021-05-15,74,False,1,17000,136
2815,5000,2020-10-25,10,False,3,5503,293
2872,4000,2021-01-07,30,False,4,549,300
2707,5000,2021-12-13,139,False,4,498,282
2196,6500,2021-11-04,32,False,5,126,229
2963,4500,2020-10-19,46,False,4,7334,309
2194,6500,2021-09-04,32,False,5,126,229
3493,25960,2021-09-18,102,True,1,59,263
2816,5000,2020-11-25,10,False,3,5503,293
1032,4000,2020-11-18,79,False,1,74,114
5454,40150,2021-06-02,136,True,6,75,264
5863,22400,2020-11-26,45,False,4,1020,261
2693,5000,2020-10-13,139,False,4,498,282
3575,22400,2021-05-23,104,False,3,1942,268
5652,5500,2020-12-10,86,True,4,733,265
342,5000,2021-11-10,108,False,2,239,32
1493,8000,2021-08-08,133,False,5,493,161
5421,28050,2020-05-11,136,False,6,559,266
3614,36450,2020-05-03,115,False,6,233,264
302,9500,2020-10-04,97,False,5,375,29
1345,7000,2021-12-02,120,False,1,26758,145
112,8000,2020-10-15,104,False,3,20,11
943,3000,2021-11-07,112,False,5,11208,100
5102,46800,2021-10-07,83,False,3,343,228
6268,37500,2020-12-10,132,False,1,7331,227
4603,29050,2020-08-01,120,False,1,7344,12
2583,6500,2021-10-23,131,False,6,1068,273
5917,8750,2020-10-10,144,False,6,427,13
2420,6500,2021-12-28,38,False,4,1384,253
1001,8500,2021-08-30,143,False,5,1074,110
3479,5000,2021-08-12,100,False,3,9630,369
2881,4000,2021-05-23,147,False,4,74,301
2962,4500,2020-09-19,46,False,4,7334,309
1769,5500,2021-09-01,111,False,3,1070,188
2056,8000,2021-12-11,123,False,6,493,216
5566,37950,2020-11-23,36,False,2,501,14
2228,8500,2020-08-09,35,False,6,1074,233
5737,15500,2021-10-13,80,False,6,1331,16
963,4000,2020-08-23,93,False,6,549,105
2559,9500,2021-12-28,134,False,4,76,268
3522,4000,2021-10-05,22,False,1,121,33
2848,5000,2021-01-02,30,False,4,5503,298
5062,54000,2020-12-08,82,False,4,8173,36
1055,5000,2021-11-15,105,False,5,498,116
1765,5500,2021-05-01,111,False,3,1070,188
449,4000,2021-04-24,146,False,4,74,46
5880,8750,2020-01-13,45,False,4,427,138
4788,6000,2020-08-06,64,False,4,40,137
4025,21500,2020-03-07,89,False,3,1352,136
1128,3500,2020-07-30,23,False,3,6036,125
2709,5000,2020-10-23,80,False,6,9630,283
4027,13500,2021-04-18,89,False,3,537,293
2241,8500,2021-09-09,35,False,6,1074,233
6358,23450,2020-06-17,100,False,3,73,299
5697,12950,2021-07-21,139,False,4,1011,300
6330,57750,2021-04-04,76,False,6,11133,282
2814,6500,2021-12-18,10,False,3,126,292
260,6500,2021-11-16,109,False,2,1384,24
819,6500,2021-09-21,40,False,6,9730,86
4349,24300,2021-02-24,148,False,1,1887,229
508,5500,2020-12-23,146,False,4,1070,50
1380,9500,2021-10-12,106,False,4,375,149
